protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_mean,flow_byts_s,flow_pkts_s,flow_iat_std,flow_iat_min,fwd_iat_tot,fwd_iat_min,bwd_iat_tot,bwd_iat_min,fwd_psh_flags,fwd_urg_flags,bwd_pkts_s,fin_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,down_up_ratio,init_fwd_win_byts,init_bwd_win_byts,fwd_seg_size_min,active_mean,idle_mean,label
17,29883,2,2,60,238,30,0,119,9972.225011,133.8553693,11845.08772,88,23095,23095,88,88,0,0,66.92768464,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,10376,2,0,0,0,0,0,0,0,192.7525058,0,10376,10376,10376,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,10974,2,0,0,0,0,0,0,0,182.2489521,0,10974,10974,10974,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,108062405,15,3,2530,0,168.6666667,105.2796729,0,23.41239768,0.166570418,13509408.77,10,108062395,398,107039598,30996980,0,0,0.027761736,0,0,1,0,0,0,26883,0,32,6154211.5,23938493,DoS attacks-Slowloris
6,14253,2,0,0,0,0,0,0,0,140.3213359,0,14253,14253,14253,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,115449052,16,14,443,706,27.6875,107.8175736,50.42857143,9.952442052,0.259854884,4847998.008,15,115000000,157,111000000,95406,0,0,0.121265612,0,1,1,0,0,0,8192,172,20,117774.6364,10000000,Benign
6,5952249,3,1,0,0,0,0,0,0,0.672014897,3426506.226,35,5952249,11583,0,0,0,0,0.168003724,0,0,1,0,0,0,8192,29200,20,0,0,Benign
6,6500503,4,4,97,231,24.25,48.5,57.75,50.45763382,1.230673996,2429696.197,52,62067,115,6500269,339,0,0,0.615336998,0,0,1,0,0,1,8192,141,20,0,0,Benign
6,86230532,2,0,0,0,0,0,0,0,0.023193641,0,86230532,86230532,86230532,0,0,0,0,0,0,0,0,1,0,0,62563,-1,20,0,86230532,Benign
6,17411,3,4,339,935,113,195.7217413,233.75,73172.13256,402.0446844,5050.059462,4,12780,260,17404,20,0,0,229.7398197,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
17,1082,1,1,35,65,35,0,65,92421.44177,1848.428835,0,1082,0,0,0,0,0,0,924.2144177,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,12618,3,4,313,935,104.3333333,180.7106343,233.75,98906.3243,554.7630369,4577.876145,4,11678,258,12614,20,0,0,317.0074497,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,21,1,1,0,0,0,0,0,0,95238.09524,0,21,0,0,0,0,0,0,47619.04762,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
17,819,1,1,25,107,25,0,107,161172.1612,2442.002442,0,819,0,0,0,0,0,0,1221.001221,0,0,0,0,0,1,-1,-1,8,0,0,Benign
17,2011,1,1,29,99,29,0,99,63649.92541,994.5300845,0,2011,0,0,0,0,0,0,497.2650423,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
17,660,1,1,51,79,51,0,79,196969.697,3030.30303,0,660,0,0,0,0,0,0,1515.151515,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,5,1,1,0,0,0,0,0,0,400000,0,5,0,0,0,0,0,0,200000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,29722,2,0,0,0,0,0,0,0,67.29022273,0,29722,29722,29722,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,33150,3,4,339,935,113,195.7217413,233.75,38431.37255,211.1613876,8931.41664,4,12019,298,33146,36,0,0,120.6636501,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,1954333,8,7,1132,1581,141.5,222.7920235,225.8571429,1388.197405,7.675252887,245918.3736,87,1954333,92,1800221,155954,0,0,3.581784681,0,0,1,0,0,0,8192,62868,20,0,0,Benign
6,14966,2,0,0,0,0,0,0,0,133.6362421,0,14966,14966,14966,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,30083,2,0,0,0,0,0,0,0,66.48273111,0,30083,30083,30083,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
